state,year,month,tavg
Alabama,1969,4,64
Alabama,1969,5,69.9
Alabama,1969,6,77.8
Alabama,1969,7,81.1
Alabama,1969,8,77.1
Alabama,1969,9,72
Alabama,1969,10,64.1
Alabama,1969,11,50.2
Alabama,1969,12,43.5
Alabama,1970,1,38
Alabama,1970,2,44.3
Alabama,1970,3,52.7
Alabama,1970,4,65.8
Alabama,1970,5,70.8
Alabama,1970,6,75.3
Alabama,1970,7,79
Alabama,1970,8,79.1
Alabama,1970,9,77.4
Alabama,1970,10,64.2
Alabama,1970,11,49.3
Alabama,1970,12,49.5
Alabama,1971,1,45
Alabama,1971,2,45.8
Alabama,1971,3,50
Alabama,1971,4,61.2
Alabama,1971,5,66.6
Alabama,1971,6,78
Alabama,1971,7,78
Alabama,1971,8,77.7
Alabama,1971,9,75.2
Alabama,1971,10,67.7
Alabama,1971,11,52.2
Alabama,1971,12,54.9
Alabama,1972,1,49.1
Alabama,1972,2,47
Alabama,1972,3,55.1
Alabama,1972,4,63.5
Alabama,1972,5,68.7
Alabama,1972,6,75
Alabama,1972,7,77.6
Alabama,1972,8,79.1
Alabama,1972,9,77.2
Alabama,1972,10,63.4
Alabama,1972,11,50.7
Alabama,1972,12,49.1
Alabama,1973,1,43.2
Alabama,1973,2,44.6
Alabama,1973,3,59.9
Alabama,1973,4,60.1
Alabama,1973,5,67.7
Alabama,1973,6,76.9
Alabama,1973,7,79.9
Alabama,1973,8,77.6
Alabama,1973,9,76.5
Alabama,1973,10,66.7
Alabama,1973,11,57.6
Alabama,1973,12,46
Alabama,1974,1,55
Alabama,1974,2,47.7
Alabama,1974,3,60.1
Alabama,1974,4,62
Alabama,1974,5,71.8
Alabama,1974,6,73.4
Alabama,1974,7,78.9
Alabama,1974,8,77.8
Alabama,1974,9,70.9
Alabama,1974,10,60.3
Alabama,1974,11,52.6
Alabama,1974,12,46.7
Alabama,1975,1,49
Alabama,1975,2,51.1
Alabama,1975,3,53.7
Alabama,1975,4,60.9
Alabama,1975,5,72.3
Alabama,1975,6,76.1
Alabama,1975,7,78
Alabama,1975,8,78.5
Alabama,1975,9,70.4
Alabama,1975,10,64.3
Alabama,1975,11,54.4
Alabama,1975,12,45.2
Alabama,1976,1,40.6
Alabama,1976,2,53
Alabama,1976,3,58.2
Alabama,1976,4,62.7
Alabama,1976,5,65.4
Alabama,1976,6,74.6
Alabama,1976,7,78.6
Alabama,1976,8,77.1
Alabama,1976,9,72
Alabama,1976,10,57.9
Alabama,1976,11,45.9
Alabama,1976,12,42.1
Alabama,1977,1,33.3
Alabama,1977,2,45.2
Alabama,1977,3,57.5
Alabama,1977,4,64.9
Alabama,1977,5,71.9
Alabama,1977,6,79.1
Alabama,1977,7,81.3
Alabama,1977,8,79.6
Alabama,1977,9,75.7
Alabama,1977,10,60.3
Alabama,1977,11,55.9
Alabama,1977,12,44.8
Alabama,1978,1,35.6
Alabama,1978,2,38.8
Alabama,1978,3,51.2
Alabama,1978,4,63.9
Alabama,1978,5,70
Alabama,1978,6,78
Alabama,1978,7,80.7
Alabama,1978,8,79.3
Alabama,1978,9,76.9
Alabama,1978,10,62.2
Alabama,1978,11,59.2
Alabama,1978,12,46.6
Alabama,1979,1,37.8
Alabama,1979,2,43.6
Alabama,1979,3,55.8
Alabama,1979,4,63.6
Alabama,1979,5,69.5
Alabama,1979,6,75.2
Alabama,1979,7,79
Alabama,1979,8,78.4
Alabama,1979,9,72.6
Alabama,1979,10,62.4
Alabama,1979,11,52.8
Alabama,1979,12,45.6
Alabama,1980,1,46.7
Alabama,1980,2,42.7
Alabama,1980,3,52.6
Alabama,1980,4,60.6
Alabama,1980,5,70.2
Alabama,1980,6,77.4
Alabama,1980,7,82.6
Alabama,1980,8,81.5
Alabama,1980,9,78.1
Alabama,1980,10,60.2
Alabama,1980,11,52
Alabama,1980,12,45
Alabama,1981,1,39.5
Alabama,1981,2,47.2
Alabama,1981,3,52.2
Alabama,1981,4,66.8
Alabama,1981,5,67.3
Alabama,1981,6,79.9
Alabama,1981,7,81.4
Alabama,1981,8,78.3
Alabama,1981,9,71.5
Alabama,1981,10,61.8
Alabama,1981,11,54.8
Alabama,1981,12,43.1
Alabama,1982,1,42.9
Alabama,1982,2,48.4
Alabama,1982,3,58.5
Alabama,1982,4,60.4
Alabama,1982,5,71.7
Alabama,1982,6,76.3
Alabama,1982,7,79.5
Alabama,1982,8,78.6
Alabama,1982,9,72.2
Alabama,1982,10,64.1
Alabama,1982,11,55.1
Alabama,1982,12,52.4
Alabama,1983,1,42.1
Alabama,1983,2,46.6
Alabama,1983,3,52
Alabama,1983,4,57.8
Alabama,1983,5,68.6
Alabama,1983,6,74.5
Alabama,1983,7,80.6
Alabama,1983,8,81.1
Alabama,1983,9,72
Alabama,1983,10,64
Alabama,1983,11,53.2
Alabama,1983,12,41.8
Alabama,1984,1,40.3
Alabama,1984,2,48.6
Alabama,1984,3,53.7
Alabama,1984,4,61
Alabama,1984,5,68.8
Alabama,1984,6,77
Alabama,1984,7,78.2
Alabama,1984,8,77.3
Alabama,1984,9,72.5
Alabama,1984,10,69.5
Alabama,1984,11,51.8
Alabama,1984,12,55.1
Alabama,1985,1,37.2
Alabama,1985,2,45.5
Alabama,1985,3,58.7
Alabama,1985,4,64
Alabama,1985,5,70.6
Alabama,1985,6,77.5
Alabama,1985,7,78.5
Alabama,1985,8,78.4
Alabama,1985,9,72.7
Alabama,1985,10,67.6
Alabama,1985,11,61.2
Alabama,1985,12,41.6
Alabama,1986,1,43.1
Alabama,1986,2,51.5
Alabama,1986,3,55.4
Alabama,1986,4,62.5
Alabama,1986,5,71.4
Alabama,1986,6,79
Alabama,1986,7,82.3
Alabama,1986,8,78.4
Alabama,1986,9,76.4
Alabama,1986,10,64.4
Alabama,1986,11,58.8
Alabama,1986,12,45.9
Alabama,1987,1,43
Alabama,1987,2,48.2
Alabama,1987,3,55.7
Alabama,1987,4,60.2
Alabama,1987,5,73.4
Alabama,1987,6,77
Alabama,1987,7,80.2
Alabama,1987,8,81.3
Alabama,1987,9,73.6
Alabama,1987,10,57.8
Alabama,1987,11,55.7
Alabama,1987,12,50.4
Alabama,1988,1,40.7
Alabama,1988,2,45.4
Alabama,1988,3,54.3
Alabama,1988,4,62.8
Alabama,1988,5,68.3
Alabama,1988,6,77.1
Alabama,1988,7,78.9
Alabama,1988,8,80.4
Alabama,1988,9,74.5
Alabama,1988,10,59.2
Alabama,1988,11,56.5
Alabama,1988,12,46.8
Alabama,1989,1,50.6
Alabama,1989,2,48.1
Alabama,1989,3,57.3
Alabama,1989,4,61.1
Alabama,1989,5,68.6
Alabama,1989,6,76
Alabama,1989,7,78.6
Alabama,1989,8,78.6
Alabama,1989,9,72.9
Alabama,1989,10,62.3
Alabama,1989,11,54
Alabama,1989,12,38.3
Alabama,1990,1,49.8
Alabama,1990,2,54.7
Alabama,1990,3,58.1
Alabama,1990,4,61.4
Alabama,1990,5,69.4
Alabama,1990,6,77.6
Alabama,1990,7,79.5
Alabama,1990,8,80.9
Alabama,1990,9,76.3
Alabama,1990,10,64
Alabama,1990,11,56.4
Alabama,1990,12,50.9
Alabama,1991,1,45.8
Alabama,1991,2,50.4
Alabama,1991,3,56.9
Alabama,1991,4,65.9
Alabama,1991,5,73.2
Alabama,1991,6,76.8
Alabama,1991,7,80.5
Alabama,1991,8,78.8
Alabama,1991,9,74.4
Alabama,1991,10,64.6
Alabama,1991,11,50.4
Alabama,1991,12,49.8
Alabama,1992,1,44.1
Alabama,1992,2,51.4
Alabama,1992,3,54.9
Alabama,1992,4,61.5
Alabama,1992,5,68
Alabama,1992,6,74.9
Alabama,1992,7,79.9
Alabama,1992,8,75.8
Alabama,1992,9,73.4
Alabama,1992,10,61.9
Alabama,1992,11,52.4
Alabama,1992,12,47.1
Alabama,1993,1,48.8
Alabama,1993,2,46.2
Alabama,1993,3,51.7
Alabama,1993,4,58.7
Alabama,1993,5,68.8
Alabama,1993,6,77.6
Alabama,1993,7,82.2
Alabama,1993,8,80.1
Alabama,1993,9,74
Alabama,1993,10,62.8
Alabama,1993,11,51.7
Alabama,1993,12,45.3
Alabama,1994,1,40.8
Alabama,1994,2,50.3
Alabama,1994,3,55.8
Alabama,1994,4,64.7
Alabama,1994,5,68.4
Alabama,1994,6,77.8
Alabama,1994,7,77.6
Alabama,1994,8,77.2
Alabama,1994,9,72.2
Alabama,1994,10,64
Alabama,1994,11,58
Alabama,1994,12,49.9
Alabama,1995,1,45.4
Alabama,1995,2,47.6
Alabama,1995,3,58.2
Alabama,1995,4,63.2
Alabama,1995,5,72.1
Alabama,1995,6,75.2
Alabama,1995,7,81.1
Alabama,1995,8,81.9
Alabama,1995,9,73.7
Alabama,1995,10,63.6
Alabama,1995,11,49.7
Alabama,1995,12,44.7
Alabama,1996,1,43.5
Alabama,1996,2,47.3
Alabama,1996,3,50.9
Alabama,1996,4,60
Alabama,1996,5,73
Alabama,1996,6,76.7
Alabama,1996,7,79.6
Alabama,1996,8,77.9
Alabama,1996,9,72.1
Alabama,1996,10,62.7
Alabama,1996,11,52.7
Alabama,1996,12,49.1
Alabama,1997,1,45.9
Alabama,1997,2,50.8
Alabama,1997,3,61.2
Alabama,1997,4,58.8
Alabama,1997,5,67.2
Alabama,1997,6,74
Alabama,1997,7,80.1
Alabama,1997,8,77.7
Alabama,1997,9,74.8
Alabama,1997,10,63.1
Alabama,1997,11,50
Alabama,1997,12,44.8
Alabama,1998,1,47.8
Alabama,1998,2,49.2
Alabama,1998,3,53.4
Alabama,1998,4,61.6
Alabama,1998,5,73.6
Alabama,1998,6,80.7
Alabama,1998,7,81.8
Alabama,1998,8,79.9
Alabama,1998,9,77.4
Alabama,1998,10,66.8
Alabama,1998,11,57.9
Alabama,1998,12,51.4
Alabama,1999,1,49.4
Alabama,1999,2,51.8
Alabama,1999,3,52.8
Alabama,1999,4,67.1
Alabama,1999,5,69.5
Alabama,1999,6,76.7
Alabama,1999,7,80.5
Alabama,1999,8,81.8
Alabama,1999,9,73.3
Alabama,1999,10,63.6
Alabama,1999,11,56.2
Alabama,1999,12,47
Alabama,2000,1,46.5
Alabama,2000,2,52.3
Alabama,2000,3,58.9
Alabama,2000,4,60.1
Alabama,2000,5,74
Alabama,2000,6,77.6
Alabama,2000,7,81.9
Alabama,2000,8,81
Alabama,2000,9,73.9
Alabama,2000,10,64.6
Alabama,2000,11,52.8
Alabama,2000,12,39.2
Alabama,2001,1,41.2
Alabama,2001,2,52.6
Alabama,2001,3,51.4
Alabama,2001,4,64.7
Alabama,2001,5,70.6
Alabama,2001,6,75.8
Alabama,2001,7,79.7
Alabama,2001,8,78.5
Alabama,2001,9,71.9
Alabama,2001,10,60.6
Alabama,2001,11,58.8
Alabama,2001,12,50.6
Alabama,2002,1,46.8
Alabama,2002,2,46
Alabama,2002,3,55
Alabama,2002,4,66.4
Alabama,2002,5,70.2
Alabama,2002,6,77.2
Alabama,2002,7,80.3
Alabama,2002,8,79.7
Alabama,2002,9,77.3
Alabama,2002,10,67.8
Alabama,2002,11,51
Alabama,2002,12,45.2
Alabama,2003,1,40
Alabama,2003,2,48
Alabama,2003,3,57.6
Alabama,2003,4,63.3
Alabama,2003,5,71.6
Alabama,2003,6,75.6
Alabama,2003,7,78.5
Alabama,2003,8,79.4
Alabama,2003,9,73.1
Alabama,2003,10,63.5
Alabama,2003,11,58.2
Alabama,2003,12,44
Alabama,2004,1,44.2
Alabama,2004,2,45.4
Alabama,2004,3,59
Alabama,2004,4,61.2
Alabama,2004,5,72.7
Alabama,2004,6,76.8
Alabama,2004,7,79.2
Alabama,2004,8,76.3
Alabama,2004,9,73.8
Alabama,2004,10,68.5
Alabama,2004,11,57.8
Alabama,2004,12,45.1
Alabama,2005,1,49.2
Alabama,2005,2,51.2
Alabama,2005,3,53.5
Alabama,2005,4,61
Alabama,2005,5,68.3
Alabama,2005,6,76.7
Alabama,2005,7,80.4
Alabama,2005,8,80.5
Alabama,2005,9,76.9
Alabama,2005,10,63.8
Alabama,2005,11,55.8
Alabama,2005,12,43.4
Alabama,2006,1,51.1
Alabama,2006,2,46.1
Alabama,2006,3,56.1
Alabama,2006,4,67.5
Alabama,2006,5,70.4
Alabama,2006,6,78.1
Alabama,2006,7,81.9
Alabama,2006,8,82.3
Alabama,2006,9,72.8
Alabama,2006,10,61.9
Alabama,2006,11,52.8
Alabama,2006,12,49.4
Alabama,2007,1,46.7
Alabama,2007,2,44.8
Alabama,2007,3,60
Alabama,2007,4,60
Alabama,2007,5,71.2
Alabama,2007,6,78.8
Alabama,2007,7,79.2
Alabama,2007,8,84.4
Alabama,2007,9,76
Alabama,2007,10,66.5
Alabama,2007,11,53.6
Alabama,2007,12,51.6
Alabama,2008,1,43
Alabama,2008,2,49.2
Alabama,2008,3,55.2
Alabama,2008,4,62.8
Alabama,2008,5,70.3
Alabama,2008,6,78.7
Alabama,2008,7,80
Alabama,2008,8,78.4
Alabama,2008,9,74.5
Alabama,2008,10,62.2
Alabama,2008,11,51
Alabama,2008,12,49.7
Alabama,2009,1,45.3
Alabama,2009,2,48.2
Alabama,2009,3,57.3
Alabama,2009,4,61.4
Alabama,2009,5,71.2
Alabama,2009,6,79.4
Alabama,2009,7,78.1
Alabama,2009,8,78
Alabama,2009,9,75
Alabama,2009,10,62.8
Alabama,2009,11,53.4
Alabama,2009,12,44.8
Alabama,2010,1,40
Alabama,2010,2,40.6
Alabama,2010,3,51.2
Alabama,2010,4,64.2
Alabama,2010,5,73.3
Alabama,2010,6,80.9
Alabama,2010,7,82.6
Alabama,2010,8,83
Alabama,2010,9,76.9
Alabama,2010,10,64.3
Alabama,2010,11,55.2
Alabama,2010,12,40.3
Alabama,2011,1,41.1
Alabama,2011,2,49.5
Alabama,2011,3,57.8
Alabama,2011,4,65.7
Alabama,2011,5,69.9
Alabama,2011,6,81.3
Alabama,2011,7,81.7
Alabama,2011,8,81.8
Alabama,2011,9,72.1
Alabama,2011,10,60.6
Alabama,2011,11,55.3
Alabama,2011,12,49.3
Alabama,2012,1,50.1
Alabama,2012,2,52.1
Alabama,2012,3,64.6
Alabama,2012,4,65
Alabama,2012,5,73.4
Alabama,2012,6,76.8
Alabama,2012,7,81.6
Alabama,2012,8,78.1
Alabama,2012,9,73
Alabama,2012,10,62.2
Alabama,2012,11,51.2
Alabama,2012,12,50.9
Alabama,2013,1,50
Alabama,2013,2,48
Alabama,2013,3,49.8
Alabama,2013,4,62.2
Alabama,2013,5,68.2
Alabama,2013,6,78
Alabama,2013,7,77.7
Alabama,2013,8,77.9
Alabama,2013,9,75
Alabama,2013,10,64.9
Alabama,2013,11,51.6
Alabama,2013,12,47.9
Alabama,2014,1,37.3
Alabama,2014,2,47.3
Alabama,2014,3,52.3
Alabama,2014,4,62.4
Alabama,2014,5,70.2
Alabama,2014,6,77.9
Alabama,2014,7,77.8
Alabama,2014,8,79.5
Alabama,2014,9,76.3
Alabama,2014,10,65.2
Alabama,2014,11,48.2
Alabama,2014,12,50
Alabama,2015,1,43.6
Alabama,2015,2,41.3
Alabama,2015,3,57.8
Alabama,2015,4,66
Alabama,2015,5,71.8
Alabama,2015,6,78.8
Alabama,2015,7,81.6
Alabama,2015,8,79
Alabama,2015,9,74.4
Alabama,2015,10,65
Alabama,2015,11,59.2
Alabama,2015,12,56.9
Alabama,2016,1,43
Alabama,2016,2,49.8
Alabama,2016,3,59.7
Alabama,2016,4,63.6
Alabama,2016,5,70.2
Alabama,2016,6,79.2
Alabama,2016,7,82
Alabama,2016,8,81.6
Alabama,2016,9,78.6
Alabama,2016,10,68.5
Alabama,2016,11,57.8
Alabama,2016,12,50.1
Alabama,2017,1,52.4
Alabama,2017,2,55.5
Alabama,2017,3,58.4
Alabama,2017,4,67.1
Alabama,2017,5,69.9
Alabama,2017,6,75.8
Alabama,2017,7,80.6
Alabama,2017,8,78.7
Alabama,2017,9,73.4
Alabama,2017,10,65.8
Alabama,2017,11,55.6
Alabama,2017,12,47
Alabama,2018,1,40.4
Alabama,2018,2,58
Alabama,2018,3,55.5
Alabama,2018,4,59.6
Arizona,1950,5,39.5
Arizona,1950,6,47.5
Arizona,1950,7,50.7
Arizona,1950,8,60.1
Arizona,1950,9,63.6
Arizona,1950,10,73.4
Arizona,1950,11,77.8
Arizona,1950,12,77
Arizona,1950,1,69.5
Arizona,1950,2,66.7
Arizona,1950,3,53
Arizona,1950,4,47.1
Arizona,1951,5,40.6
Arizona,1951,6,44.2
Arizona,1951,7,48.3
Arizona,1951,8,56.3
Arizona,1951,9,65.2
Arizona,1951,10,72
Arizona,1951,11,81.4
Arizona,1951,12,76.9
Arizona,1951,1,73
Arizona,1951,2,61
Arizona,1951,3,47.6
Arizona,1951,4,39.8
Arizona,1952,5,40.4
Arizona,1952,6,42.6
Arizona,1952,7,43.2
Arizona,1952,8,56.5
Arizona,1952,9,67.4
Arizona,1952,10,73.4
Arizona,1952,11,78.8
Arizona,1952,12,79.1
Arizona,1952,1,73.8
Arizona,1952,2,65.7
Arizona,1952,3,45
Arizona,1952,4,40
Arizona,1953,5,45.2
Arizona,1953,6,43.1
Arizona,1953,7,50.3
Arizona,1953,8,55.8
Arizona,1953,9,59.8
Arizona,1953,10,74.5
Arizona,1953,11,80.5
Arizona,1953,12,77.3
Arizona,1953,1,73.5
Arizona,1953,2,60.9
Arizona,1953,3,51.2
Arizona,1953,4,38.9
Arizona,1954,5,42.3
Arizona,1954,6,49.9
Arizona,1954,7,47.8
Arizona,1954,8,61.4
Arizona,1954,9,67.5
Arizona,1954,10,73.6
Arizona,1954,11,80.5
Arizona,1954,12,76.1
Arizona,1954,1,73.4
Arizona,1954,2,63.6
Arizona,1954,3,52.7
Arizona,1954,4,41.8
Arizona,1955,5,37
Arizona,1955,6,39
Arizona,1955,7,49.1
Arizona,1955,8,54.4
Arizona,1955,9,63.6
Arizona,1955,10,72.7
Arizona,1955,11,77
Arizona,1955,12,76.9
Arizona,1955,1,72.6
Arizona,1955,2,64.4
Arizona,1955,3,49.3
Arizona,1955,4,45.4
Arizona,1956,5,45.6
Arizona,1956,6,39.6
Arizona,1956,7,50.6
Arizona,1956,8,55.6
Arizona,1956,9,67.1
Arizona,1956,10,77.3
Arizona,1956,11,78.5
Arizona,1956,12,76
Arizona,1956,1,75.5
Arizona,1956,2,61
Arizona,1956,3,46.2
Arizona,1956,4,41.5
Arizona,1957,5,42.6
Arizona,1957,6,50.9
Arizona,1957,7,50.6
Arizona,1957,8,55.4
Arizona,1957,9,61.3
Arizona,1957,10,76.1
Arizona,1957,11,80.2
Arizona,1957,12,77.1
Arizona,1957,1,72
Arizona,1957,2,59.1
Arizona,1957,3,45
Arizona,1957,4,44.2
Arizona,1958,5,41.4
Arizona,1958,6,47.3
Arizona,1958,7,45
Arizona,1958,8,55.2
