state,year,month,tavg
Idaho,1995,2,33.3
Idaho,1995,3,33.8
Idaho,1995,4,39.8
Idaho,1995,5,48.3
Idaho,1995,6,54.4
Idaho,1995,7,63.4
Idaho,1995,8,62.5
Idaho,1995,9,56.8
Idaho,1995,10,41.5
Idaho,1995,11,36.6
Idaho,1995,12,26.8
Idaho,1996,1,24
Idaho,1996,2,27
Idaho,1996,3,34.8
Idaho,1996,4,41.4
Idaho,1996,5,46.5
Idaho,1996,6,58.3
Idaho,1996,7,67
Idaho,1996,8,64.5
Idaho,1996,9,52.5
Idaho,1996,10,43.4
Idaho,1996,11,33.3
Idaho,1996,12,25.3
Idaho,1997,1,24.1
Idaho,1997,2,26.8
Idaho,1997,3,34.6
Idaho,1997,4,38.5
Idaho,1997,5,52.3
Idaho,1997,6,57.2
Idaho,1997,7,62.9
Idaho,1997,8,65
Idaho,1997,9,57.4
Idaho,1997,10,42.8
Idaho,1997,11,33.8
Idaho,1997,12,23.4
Idaho,1998,1,27.9
Idaho,1998,2,29.4
Idaho,1998,3,34
Idaho,1998,4,41.3
Idaho,1998,5,49
Idaho,1998,6,53.6
Idaho,1998,7,69.1
Idaho,1998,8,67
Idaho,1998,9,60.4
Idaho,1998,10,43.3
Idaho,1998,11,34.3
Idaho,1998,12,22.6
Idaho,1999,1,27.1
Idaho,1999,2,27
Idaho,1999,3,33.8
Idaho,1999,4,38.7
Idaho,1999,5,46.6
Idaho,1999,6,55.6
Idaho,1999,7,63.7
Idaho,1999,8,65.4
Idaho,1999,9,54.2
Idaho,1999,10,46.2
Idaho,1999,11,38.8
Idaho,1999,12,25.9
Idaho,2000,1,25.7
Idaho,2000,2,32
Idaho,2000,3,34.5
Idaho,2000,4,45.3
Idaho,2000,5,50.3
Idaho,2000,6,58.6
Idaho,2000,7,66.5
Idaho,2000,8,66.3
Idaho,2000,9,54
Idaho,2000,10,44.1
Idaho,2000,11,25.7
Idaho,2000,12,24.2
Idaho,2001,1,23
Idaho,2001,2,25.1
Idaho,2001,3,36.6
Idaho,2001,4,40.1
Idaho,2001,5,52.6
Idaho,2001,6,57.4
Idaho,2001,7,65.6
Idaho,2001,8,68.2
Idaho,2001,9,59.4
Idaho,2001,10,44.6
Idaho,2001,11,36.2
Idaho,2001,12,22.1
Idaho,2002,1,23.2
Idaho,2002,2,23.9
Idaho,2002,3,30.1
Idaho,2002,4,41.5
Idaho,2002,5,48.7
Idaho,2002,6,58.8
Idaho,2002,7,69
Idaho,2002,8,61.8
Idaho,2002,9,55.9
Idaho,2002,10,41
Idaho,2002,11,32.8
Idaho,2002,12,28.8
Idaho,2003,1,31.4
Idaho,2003,2,27.1
Idaho,2003,3,36.3
Idaho,2003,4,40.8
Idaho,2003,5,49.9
Idaho,2003,6,59.1
Idaho,2003,7,70.4
Idaho,2003,8,67.7
Idaho,2003,9,56.7
Idaho,2003,10,48.7
Idaho,2003,11,28.2
Idaho,2003,12,28.1
Idaho,2004,1,22.8
Idaho,2004,2,26.3
Idaho,2004,3,39.3
Idaho,2004,4,44.6
Idaho,2004,5,48.9
Idaho,2004,6,58.4
Idaho,2004,7,66.3
Idaho,2004,8,63.7
Idaho,2004,9,53.7
Idaho,2004,10,44.6
Idaho,2004,11,32.7
Idaho,2004,12,28.5
Idaho,2005,1,26.5
Idaho,2005,2,28.5
Idaho,2005,3,35.9
Idaho,2005,4,41.7
Idaho,2005,5,49.9
Idaho,2005,6,54.3
Idaho,2005,7,66.8
Idaho,2005,8,64.8
Idaho,2005,9,54.1
Idaho,2005,10,45.5
Idaho,2005,11,32
Idaho,2005,12,23
Idaho,2006,1,27.9
Idaho,2006,2,24.4
Idaho,2006,3,32.4
Idaho,2006,4,42.8
Idaho,2006,5,51.8
Idaho,2006,6,60.6
Idaho,2006,7,70.1
Idaho,2006,8,63.7
Idaho,2006,9,55.1
Idaho,2006,10,43
Idaho,2006,11,33.1
Idaho,2006,12,25.3
Idaho,2007,1,20.7
Idaho,2007,2,30.8
Idaho,2007,3,38.9
Idaho,2007,4,43
Idaho,2007,5,52
Idaho,2007,6,59.6
Idaho,2007,7,72
Idaho,2007,8,65.4
Idaho,2007,9,54.9
Idaho,2007,10,43.1
Idaho,2007,11,33.5
Idaho,2007,12,23.4
Idaho,2008,1,19.9
Idaho,2008,2,27.6
Idaho,2008,3,30.3
Idaho,2008,4,36.3
Idaho,2008,5,48.9
Idaho,2008,6,56.3
Idaho,2008,7,66.5
Idaho,2008,8,64.8
Idaho,2008,9,55.5
Idaho,2008,10,44.5
Idaho,2008,11,37.1
Idaho,2008,12,22.6
Idaho,2009,1,25
Idaho,2009,2,27.6
Idaho,2009,3,31.4
Idaho,2009,4,40.7
Idaho,2009,5,50.8
Idaho,2009,6,56.3
Idaho,2009,7,65.8
Idaho,2009,8,63.8
Idaho,2009,9,60.1
Idaho,2009,10,39.5
Idaho,2009,11,33
Idaho,2009,12,19.8
Idaho,2010,1,28.2
Idaho,2010,2,28.9
Idaho,2010,3,35.2
Idaho,2010,4,40
Idaho,2010,5,44.1
Idaho,2010,6,55.5
Idaho,2010,7,64.2
Idaho,2010,8,62.8
Idaho,2010,9,56.4
Idaho,2010,10,47.5
Idaho,2010,11,30.5
Idaho,2010,12,26.6
Idaho,2011,1,24
Idaho,2011,2,24.3
Idaho,2011,3,33.4
Idaho,2011,4,36.4
Idaho,2011,5,45.8
Idaho,2011,6,54
Idaho,2011,7,64.3
Idaho,2011,8,66.1
Idaho,2011,9,59.6
Idaho,2011,10,45.4
Idaho,2011,11,30.5
Idaho,2011,12,24.8
Idaho,2012,1,26.8
Idaho,2012,2,28
Idaho,2012,3,36.4
Idaho,2012,4,44.4
Idaho,2012,5,49
Idaho,2012,6,56.9
Idaho,2012,7,68.5
Idaho,2012,8,67.3
Idaho,2012,9,58.4
Idaho,2012,10,43.7
Idaho,2012,11,36
Idaho,2012,12,25.8
Idaho,2013,1,20.2
Idaho,2013,2,27.5
Idaho,2013,3,35.1
Idaho,2013,4,40.1
Idaho,2013,5,51
Idaho,2013,6,59.3
Idaho,2013,7,69.6
Idaho,2013,8,67.6
Idaho,2013,9,57.1
Idaho,2013,10,42.1
Idaho,2013,11,33.8
Idaho,2013,12,21.1
Idaho,2014,1,27.7
Idaho,2014,2,28
Idaho,2014,3,36.2
Idaho,2014,4,41.6
Idaho,2014,5,51.6
Idaho,2014,6,56.7
Idaho,2014,7,69.3
Idaho,2014,8,63.8
Idaho,2014,9,57.6
Idaho,2014,10,48.5
Idaho,2014,11,31.1
Idaho,2014,12,29.1
Idaho,2015,1,28.7
Idaho,2015,2,35.2
Idaho,2015,3,40.8
Idaho,2015,4,42.3
Idaho,2015,5,51.8
Idaho,2015,6,64.7
Idaho,2015,7,65.1
Idaho,2015,8,65.8
Idaho,2015,9,57.2
Idaho,2015,10,50.7
Idaho,2015,11,29.9
Idaho,2015,12,24.3
Idaho,2016,1,25.8
Idaho,2016,2,31.9
Idaho,2016,3,37
Idaho,2016,4,47
Idaho,2016,5,50.6
Idaho,2016,6,61.2
Idaho,2016,7,64.8
Idaho,2016,8,64.7
Idaho,2016,9,54.6
Idaho,2016,10,45.7
Idaho,2016,11,38.7
Idaho,2016,12,19.1
Idaho,2017,1,18.5
Idaho,2017,2,29.6
Idaho,2017,3,38.4
Idaho,2017,4,40.4
Idaho,2017,5,50.5
Idaho,2017,6,59.1
Idaho,2017,7,69.9
Idaho,2017,8,66.8
Idaho,2017,9,55.7
Idaho,2017,10,41.8
Idaho,2017,11,34.9
Idaho,2017,12,25.1
Idaho,2018,1,30.5
Idaho,2018,2,26.3
Idaho,2018,3,33.8
Idaho,2018,4,42.4
Illinois,1950,5,32.1
Illinois,1950,6,29.4
Illinois,1950,7,36
Illinois,1950,8,45.8
Illinois,1950,9,63.4
Illinois,1950,10,70.2
Illinois,1950,11,72
Illinois,1950,12,69.2
Illinois,1950,1,64.5
Illinois,1950,2,59.3
Illinois,1950,3,34.6
Illinois,1950,4,21.5
Illinois,1951,5,26.3
Illinois,1951,6,29.4
Illinois,1951,7,36.2
Illinois,1951,8,48.2
Illinois,1951,9,63.7
Illinois,1951,10,68.8
Illinois,1951,11,74
Illinois,1951,12,71.9
Illinois,1951,1,62.8
Illinois,1951,2,55.9
Illinois,1951,3,33.6
Illinois,1951,4,28
Illinois,1952,5,29.6
Illinois,1952,6,34.7
Illinois,1952,7,37.4
Illinois,1952,8,52
Illinois,1952,9,61.6
Illinois,1952,10,76.9
Illinois,1952,11,77.3
Illinois,1952,12,72.6
Illinois,1952,1,65.6
Illinois,1952,2,49.2
Illinois,1952,3,42.2
Illinois,1952,4,32.6
Illinois,1953,5,30.2
Illinois,1953,6,34.5
Illinois,1953,7,41.2
Illinois,1953,8,48.1
Illinois,1953,9,63.1
Illinois,1953,10,76.3
Illinois,1953,11,76.6
Illinois,1953,12,74.4
Illinois,1953,1,67.6
Illinois,1953,2,58
Illinois,1953,3,42.7
Illinois,1953,4,31.8
Illinois,1954,5,27.8
Illinois,1954,6,38.9
Illinois,1954,7,37.1
Illinois,1954,8,56.7
Illinois,1954,9,58.1
Illinois,1954,10,75.5
Illinois,1954,11,78.6
Illinois,1954,12,74.4
Illinois,1954,1,69.6
Illinois,1954,2,55
Illinois,1954,3,41.6
Illinois,1954,4,31.5
Illinois,1955,5,26.5
Illinois,1955,6,29.8
Illinois,1955,7,39.6
Illinois,1955,8,58
Illinois,1955,9,64.3
Illinois,1955,10,67.8
Illinois,1955,11,79.8
Illinois,1955,12,76.6
Illinois,1955,1,68.3
Illinois,1955,2,54.7
Illinois,1955,3,36.6
Illinois,1955,4,27.1
Illinois,1956,5,25.8
Illinois,1956,6,31.1
Illinois,1956,7,39.8
Illinois,1956,8,49.6
Illinois,1956,9,64
Illinois,1956,10,73.3
Illinois,1956,11,73.9
Illinois,1956,12,74
Illinois,1956,1,65.6
Illinois,1956,2,60.2
Illinois,1956,3,40.4
Illinois,1956,4,34
Illinois,1957,5,20.8
Illinois,1957,6,34.8
Illinois,1957,7,39.2
Illinois,1957,8,52.5
Illinois,1957,9,61.9
Illinois,1957,10,71.8
Illinois,1957,11,76.6
Illinois,1957,12,73.9
Illinois,1957,1,64.2
Illinois,1957,2,51.2
Illinois,1957,3,39.7
Illinois,1957,4,35.4
Illinois,1958,5,26.1
Illinois,1958,6,21
Illinois,1958,7,35.9
Illinois,1958,8,52
Illinois,1958,9,62.6
Illinois,1958,10,67.2
Illinois,1958,11,73
Illinois,1958,12,73.6
Illinois,1958,1,65.8
Illinois,1958,2,55.6
Illinois,1958,3,43.7
Illinois,1958,4,24.1
Illinois,1959,5,20.8
Illinois,1959,6,28.9
Illinois,1959,7,39.9
Illinois,1959,8,51.8
Illinois,1959,9,66.5
Illinois,1959,10,72.9
Illinois,1959,11,74.5
Illinois,1959,12,77
Illinois,1959,1,67.9
Illinois,1959,2,52.9
Illinois,1959,3,33.9
Illinois,1959,4,35.6
Illinois,1960,5,28.4
Illinois,1960,6,26.1
Illinois,1960,7,25.3
Illinois,1960,8,54.5
Illinois,1960,9,59.4
Illinois,1960,10,69.6
Illinois,1960,11,73.2
Illinois,1960,12,74.5
Illinois,1960,1,70
Illinois,1960,2,55
Illinois,1960,3,42
Illinois,1960,4,25.9
Illinois,1961,5,24
Illinois,1961,6,33.8
Illinois,1961,7,42.3
Illinois,1961,8,46.6
Illinois,1961,9,57.8
Illinois,1961,10,70
Illinois,1961,11,74.3
Illinois,1961,12,72.8
Illinois,1961,1,68.1
Illinois,1961,2,55.6
Illinois,1961,3,40.9
Illinois,1961,4,27.1
Illinois,1962,5,19.7
Illinois,1962,6,29.6
Illinois,1962,7,35.6
Illinois,1962,8,50.5
Illinois,1962,9,69.4
Illinois,1962,10,71.7
Illinois,1962,11,73.2
Illinois,1962,12,73.1
Illinois,1962,1,63.4
Illinois,1962,2,57.3
Illinois,1962,3,41
Illinois,1962,4,26.3
Illinois,1963,5,16
Illinois,1963,6,22
Illinois,1963,7,43.7
Illinois,1963,8,54.8
Illinois,1963,9,60.9
Illinois,1963,10,73.1
Illinois,1963,11,74.4
Illinois,1963,12,71.2
Illinois,1963,1,66.1
Illinois,1963,2,63.6
Illinois,1963,3,44.4
Illinois,1963,4,18
Illinois,1964,5,30.2
Illinois,1964,6,29.3
Illinois,1964,7,38.3
Illinois,1964,8,53.8
Illinois,1964,9,66.7
Illinois,1964,10,73
Illinois,1964,11,75.7
Illinois,1964,12,72.3
Illinois,1964,1,66.3
Illinois,1964,2,51.6
Illinois,1964,3,44.6
Illinois,1964,4,28.1
Illinois,1965,5,26.5
Illinois,1965,6,28.6
Illinois,1965,7,30.8
Illinois,1965,8,52.8
Illinois,1965,9,67.3
Illinois,1965,10,71.1
Illinois,1965,11,73.6
Illinois,1965,12,71.7
Illinois,1965,1,65.9
Illinois,1965,2,53.9
Illinois,1965,3,43.9
Illinois,1965,4,37.3
Illinois,1966,5,20.6
Illinois,1966,6,28.8
Illinois,1966,7,41.9
Illinois,1966,8,49
Illinois,1966,9,58
Illinois,1966,10,71
Illinois,1966,11,78.5
Illinois,1966,12,70.8
Illinois,1966,1,63.3
Illinois,1966,2,51.8
Illinois,1966,3,43
Illinois,1966,4,30.2
Illinois,1967,5,29.9
Illinois,1967,6,25.2
Illinois,1967,7,42.3
Illinois,1967,8,54.1
Illinois,1967,9,58
Illinois,1967,10,72
Illinois,1967,11,71.7
Illinois,1967,12,68.2
Illinois,1967,1,62.9
Illinois,1967,2,53.4
Illinois,1967,3,37.6
Illinois,1967,4,31.4
Illinois,1968,5,23.8
Illinois,1968,6,25.3
Illinois,1968,7,43
Illinois,1968,8,52.7
Illinois,1968,9,59
Illinois,1968,10,72.7
Illinois,1968,11,74.2
Illinois,1968,12,74
Illinois,1968,1,65.2
Illinois,1968,2,54.5
Illinois,1968,3,40.4
Illinois,1968,4,28.7
Illinois,1969,5,22.8
Illinois,1969,6,30.6
Illinois,1969,7,34.1
Illinois,1969,8,53.2
Illinois,1969,9,62.4
Illinois,1969,10,68.6
Illinois,1969,11,76.1
Illinois,1969,12,73
Illinois,1969,1,65.4
Illinois,1969,2,52.8
Illinois,1969,3,38.4
Illinois,1969,4,27.4
Illinois,1970,5,17.6
Illinois,1970,6,27.9
Illinois,1970,7,36.4
Illinois,1970,8,53.4
Illinois,1970,9,65.3
Illinois,1970,10,70.2
Illinois,1970,11,75
Illinois,1970,12,73.3
Illinois,1970,1,68.3
Illinois,1970,2,54.7
Illinois,1970,3,39.9
Illinois,1970,4,32.6
Illinois,1971,5,21.5
Illinois,1971,6,29
Illinois,1971,7,37.1
Illinois,1971,8,52
Illinois,1971,9,59
Illinois,1971,10,75.7
Illinois,1971,11,71.9
Illinois,1971,12,71.6
Illinois,1971,1,69.2
Illinois,1971,2,61.3
Illinois,1971,3,42.1
Illinois,1971,4,36.2
Illinois,1972,5,24
Illinois,1972,6,27.5
Illinois,1972,7,39.2
Illinois,1972,8,50.5
Illinois,1972,9,63.8
Illinois,1972,10,69
Illinois,1972,11,73.8
Illinois,1972,12,72.9
Illinois,1972,1,67.6
Illinois,1972,2,51.4
Illinois,1972,3,37.5
Illinois,1972,4,26.7
Illinois,1973,5,28.8
Illinois,1973,6,30.7
Illinois,1973,7,47.3
Illinois,1973,8,50.8
Illinois,1973,9,58.8
Illinois,1973,10,72.4
Illinois,1973,11,75.6
Illinois,1973,12,74.2
Illinois,1973,1,67.6
Illinois,1973,2,59.1
Illinois,1973,3,43.4
Illinois,1973,4,27.8
Illinois,1974,5,26.1
Illinois,1974,6,31.4
Illinois,1974,7,43.2
Illinois,1974,8,54.2
Illinois,1974,9,60.9
Illinois,1974,10,67.4
Illinois,1974,11,76.9
Illinois,1974,12,71.6
Illinois,1974,1,61
Illinois,1974,2,53.9
Illinois,1974,3,41.4
Illinois,1974,4,31.4
Illinois,1975,5,29.4
Illinois,1975,6,28.5
Illinois,1975,7,35.3
Illinois,1975,8,48.4
Illinois,1975,9,65.2
Illinois,1975,10,72.3
Illinois,1975,11,74
Illinois,1975,12,74.6
Illinois,1975,1,61.8
Illinois,1975,2,56.3
Illinois,1975,3,45.9
Illinois,1975,4,32.1
Illinois,1976,5,22.7
Illinois,1976,6,38
Illinois,1976,7,45.4
Illinois,1976,8,54.1
Illinois,1976,9,58.7
Illinois,1976,10,70.9
Illinois,1976,11,75.3
Illinois,1976,12,70.5
Illinois,1976,1,63.8
Illinois,1976,2,48.3
Illinois,1976,3,33.4
Illinois,1976,4,23.4
Illinois,1977,5,10.1
Illinois,1977,6,28.6
Illinois,1977,7,45.7
Illinois,1977,8,57.6
Illinois,1977,9,68.9
Illinois,1977,10,70.7
Illinois,1977,11,77.6
Illinois,1977,12,71.8
Illinois,1977,1,67.4
Illinois,1977,2,52
Illinois,1977,3,41.8
Illinois,1977,4,25.9
Illinois,1978,5,15.8
Illinois,1978,6,16.9
Illinois,1978,7,33.6
Illinois,1978,8,52.7
Illinois,1978,9,60.8
Illinois,1978,10,72
Illinois,1978,11,75.1
Illinois,1978,12,73
Illinois,1978,1,70.1
Illinois,1978,2,52.4
Illinois,1978,3,43.3
Illinois,1978,4,29.1
Illinois,1979,5,12.7
Illinois,1979,6,17.4
Illinois,1979,7,39.5
Illinois,1979,8,49.1
Illinois,1979,9,61.4
Illinois,1979,10,71.9
Illinois,1979,11,73.7
Illinois,1979,12,72.6
Illinois,1979,1,65.7
Illinois,1979,2,54.3
Illinois,1979,3,40.4
Illinois,1979,4,33.8
Illinois,1980,5,26.4
Illinois,1980,6,22.7
Illinois,1980,7,35.7
Illinois,1980,8,50.1
Illinois,1980,9,63.2
Illinois,1980,10,70.5
Illinois,1980,11,78.8
Illinois,1980,12,77.2
Illinois,1980,1,67.8
Illinois,1980,2,51.2
Illinois,1980,3,41.3
Illinois,1980,4,30.7
Illinois,1981,5,25.3
Illinois,1981,6,31.3
Illinois,1981,7,41
Illinois,1981,8,57.3
Illinois,1981,9,58.2
Illinois,1981,10,72.8
Illinois,1981,11,74.8
Illinois,1981,12,72
Illinois,1981,1,64.5
Illinois,1981,2,52.5
Illinois,1981,3,44
Illinois,1981,4,27.3
Illinois,1982,5,16.7
Illinois,1982,6,24.6
Illinois,1982,7,39.3
Illinois,1982,8,47
Illinois,1982,9,67.4
Illinois,1982,10,66.9
Illinois,1982,11,75.5
Illinois,1982,12,71
Illinois,1982,1,64.7
Illinois,1982,2,55.1
Illinois,1982,3,42.1
Illinois,1982,4,37.9
Illinois,1983,5,28.8
Illinois,1983,6,34.2
Illinois,1983,7,41
Illinois,1983,8,46.8
Illinois,1983,9,58.9
Illinois,1983,10,72.1
Illinois,1983,11,79.1
Illinois,1983,12,78.9
Illinois,1983,1,67
Illinois,1983,2,55.4
Illinois,1983,3,44.4
Illinois,1983,4,17.3
Illinois,1984,5,21.9
Illinois,1984,6,36
Illinois,1984,7,33.1
Illinois,1984,8,50
Illinois,1984,9,59.2
Illinois,1984,10,74.5
Illinois,1984,11,73.3
Illinois,1984,12,74.7
Illinois,1984,1,64.3
Illinois,1984,2,57.8
Illinois,1984,3,41
Illinois,1984,4,35.8
Illinois,1985,5,18.2
Illinois,1985,6,24.4
Illinois,1985,7,44.5
Illinois,1985,8,56.7
Illinois,1985,9,64.5
Illinois,1985,10,69.1
Illinois,1985,11,74.3
Illinois,1985,12,70.5
Illinois,1985,1,66.7
Illinois,1985,2,56.2
Illinois,1985,3,41.6
Illinois,1985,4,20.9
Illinois,1986,5,27.9
Illinois,1986,6,28.3
Illinois,1986,7,43.6
Illinois,1986,8,55.9
Illinois,1986,9,64.1
Illinois,1986,10,72.9
Illinois,1986,11,77.7
Illinois,1986,12,69.6
Illinois,1986,1,69.2
Illinois,1986,2,55.2
Illinois,1986,3,37.8
Illinois,1986,4,31.8
Illinois,1987,5,26.6
Illinois,1987,6,35.6
Illinois,1987,7,44.4
Illinois,1987,8,53.2
Illinois,1987,9,68.2
Illinois,1987,10,74.6
Illinois,1987,11,77.3
Illinois,1987,12,74.3
Illinois,1987,1,66.6
Illinois,1987,2,48.7
Illinois,1987,3,45.7
Illinois,1987,4,33.9
Illinois,1988,5,23.2
Illinois,1988,6,25.9
Illinois,1988,7,40.8
Illinois,1988,8,52
Illinois,1988,9,64.6
Illinois,1988,10,73.6
Illinois,1988,11,77.5
Illinois,1988,12,78
Illinois,1988,1,67.6
Illinois,1988,2,48.7
Illinois,1988,3,42.4
Illinois,1988,4,31
Illinois,1989,5,34.8
Illinois,1989,6,22.3
Illinois,1989,7,40.2
Illinois,1989,8,51.4
Illinois,1989,9,59.5
Illinois,1989,10,70.5
Illinois,1989,11,75.5
Illinois,1989,12,72.8
Illinois,1989,1,63.3
Illinois,1989,2,55.8
Illinois,1989,3,40.7
Illinois,1989,4,18
Illinois,1990,5,36.4
Illinois,1990,6,35.5
Illinois,1990,7,44.6
Illinois,1990,8,50.8
Illinois,1990,9,59
Illinois,1990,10,71.9
Illinois,1990,11,74.2
Illinois,1990,12,72.4
Illinois,1990,1,67.9
Illinois,1990,2,52.8
Illinois,1990,3,46.8
Illinois,1990,4,30.4
Illinois,1991,5,23.3
Illinois,1991,6,34.2
Illinois,1991,7,43.9
Illinois,1991,8,56
Illinois,1991,9,68.6
Illinois,1991,10,75.1
Illinois,1991,11,76.3
Illinois,1991,12,74.7
Illinois,1991,1,66.4
Illinois,1991,2,55.6
Illinois,1991,3,37.3
Illinois,1991,4,33.5
Illinois,1992,5,31
Illinois,1992,6,37.2
Illinois,1992,7,42.7
Illinois,1992,8,51
Illinois,1992,9,61.2
Illinois,1992,10,68.8
Illinois,1992,11,73.2
Illinois,1992,12,68.4
Illinois,1992,1,64.3
Illinois,1992,2,53.5
Illinois,1992,3,40.6
Illinois,1992,4,30.7
Illinois,1993,5,27.8
Illinois,1993,6,27
Illinois,1993,7,36.8
Illinois,1993,8,49.2
Illinois,1993,9,63.2
Illinois,1993,10,70.5
Illinois,1993,11,76.6
Illinois,1993,12,74.9
Illinois,1993,1,61.6
Illinois,1993,2,51.8
Illinois,1993,3,39.6
Illinois,1993,4,31.4
Illinois,1994,5,19.9
Illinois,1994,6,27.1
Illinois,1994,7,41.1
Illinois,1994,8,53.2
Illinois,1994,9,60.6
Illinois,1994,10,73.8
Illinois,1994,11,73.8
Illinois,1994,12,70.6
Illinois,1994,1,65.3
Illinois,1994,2,56.4
Illinois,1994,3,46.2
Illinois,1994,4,35.9
Illinois,1995,5,25.8
Illinois,1995,6,29.8
Illinois,1995,7,43.3
Illinois,1995,8,50.1
Illinois,1995,9,60.1
Illinois,1995,10,72.3
Illinois,1995,11,76.4
Illinois,1995,12,78.8
Illinois,1995,1,63.3
Illinois,1995,2,55.4
Illinois,1995,3,35.6
Illinois,1995,4,28.2
Illinois,1996,5,24.4
Illinois,1996,6,30.4
Illinois,1996,7,34.5
Illinois,1996,8,48.6
Illinois,1996,9,61.6
Illinois,1996,10,71.5
Illinois,1996,11,72.6
Illinois,1996,12,73.5
Illinois,1996,1,64.2
Illinois,1996,2,54.8
Illinois,1996,3,34.9
Illinois,1996,4,30.5
Illinois,1997,5,21.4
Illinois,1997,6,33.6
Illinois,1997,7,42.9
Illinois,1997,8,47.6
Illinois,1997,9,57.6
Illinois,1997,10,70.6
Illinois,1997,11,75.1
Illinois,1997,12,71
Illinois,1997,1,66.3
Illinois,1997,2,54.9
Illinois,1997,3,38.6
Illinois,1997,4,32
Illinois,1998,5,31.8
Illinois,1998,6,40
Illinois,1998,7,40.6
Illinois,1998,8,52.6
Illinois,1998,9,67.4
Illinois,1998,10,71.8
Illinois,1998,11,75.4
Illinois,1998,12,74.8
Illinois,1998,1,70.9
Illinois,1998,2,56.6
Illinois,1998,3,45.6
Illinois,1998,4,35.1
Illinois,1999,5,25.1
Illinois,1999,6,37.4
Illinois,1999,7,38.3
Illinois,1999,8,54.3
Illinois,1999,9,64.1
Illinois,1999,10,72.2
Illinois,1999,11,78.6
Illinois,1999,12,71.7
Illinois,1999,1,65.2
Illinois,1999,2,54.5
Illinois,1999,3,48.4
Illinois,1999,4,32.6
Illinois,2000,5,27.3
Illinois,2000,6,37.4
Illinois,2000,7,46.2
Illinois,2000,8,51.5
Illinois,2000,9,65.1
Illinois,2000,10,70.3
Illinois,2000,11,73.2
Illinois,2000,12,74.6
Illinois,2000,1,66.3
Illinois,2000,2,58
Illinois,2000,3,38.9
Illinois,2000,4,17.6
Illinois,2001,5,25.7
Illinois,2001,6,30.9
Illinois,2001,7,37.1
Illinois,2001,8,57.6
Illinois,2001,9,64.8
Illinois,2001,10,69.8
Illinois,2001,11,75.9
Illinois,2001,12,74.6
Illinois,2001,1,64.4
Illinois,2001,2,53.8
Illinois,2001,3,49.9
Illinois,2001,4,35.8
Illinois,2002,5,33.6
Illinois,2002,6,34.6
Illinois,2002,7,37.8
Illinois,2002,8,53.5
Illinois,2002,9,59.1
Illinois,2002,10,73.9
Illinois,2002,11,78.2
Illinois,2002,12,75
Illinois,2002,1,69.3
Illinois,2002,2,52.1
Illinois,2002,3,39.6
Illinois,2002,4,32.2
Illinois,2003,5,22.8
Illinois,2003,6,26.4
Illinois,2003,7,41.6
Illinois,2003,8,53.5
Illinois,2003,9,61.1
Illinois,2003,10,67.9
Illinois,2003,11,74.8
Illinois,2003,12,75.3
Illinois,2003,1,64.1
Illinois,2003,2,54.5
Illinois,2003,3,44.8
Illinois,2003,4,33.8
Illinois,2004,5,24.7
Illinois,2004,6,30
Illinois,2004,7,45.4
Illinois,2004,8,54.1
Illinois,2004,9,65.7
Illinois,2004,10,70
Illinois,2004,11,72.8
Illinois,2004,12,68.6
Illinois,2004,1,67.7
Illinois,2004,2,55.4
Illinois,2004,3,45.6
Illinois,2004,4,31
Illinois,2005,5,29.1
Illinois,2005,6,36.1
Illinois,2005,7,39
Illinois,2005,8,55.4
Illinois,2005,9,60.9
Illinois,2005,10,75
Illinois,2005,11,76.3
Illinois,2005,12,75.6
Illinois,2005,1,70.7
Illinois,2005,2,55.7
Illinois,2005,3,44.5
Illinois,2005,4,26
Illinois,2006,5,38.1
Illinois,2006,6,30.9
Illinois,2006,7,41.8
Illinois,2006,8,57
Illinois,2006,9,62.3
Illinois,2006,10,71.4
Illinois,2006,11,77.1
Illinois,2006,12,74.7
Illinois,2006,1,63.7
Illinois,2006,2,51.3
Illinois,2006,3,44.4
Illinois,2006,4,35.3
Illinois,2007,5,30.3
Illinois,2007,6,21.7
Illinois,2007,7,48
Illinois,2007,8,50.2
Illinois,2007,9,67.6
Illinois,2007,10,72.7
Illinois,2007,11,73.3
Illinois,2007,12,78.2
Illinois,2007,1,69.8
Illinois,2007,2,59.9
Illinois,2007,3,42.2
Illinois,2007,4,30.2
Illinois,2008,5,26.9
Illinois,2008,6,26
Illinois,2008,7,39
Illinois,2008,8,51.4
Illinois,2008,9,59
Illinois,2008,10,73.2
Illinois,2008,11,74.5
Illinois,2008,12,71.8
Illinois,2008,1,67.1
Illinois,2008,2,54.2
Illinois,2008,3,41.1
Illinois,2008,4,26.8
Illinois,2009,5,20.6
Illinois,2009,6,32.5
Illinois,2009,7,43.6
Illinois,2009,8,51.4
Illinois,2009,9,62.8
Illinois,2009,10,72.7
Illinois,2009,11,70.3
Illinois,2009,12,70.9
Illinois,2009,1,65.9
Illinois,2009,2,50.1
Illinois,2009,3,47.2
Illinois,2009,4,29.1
Illinois,2010,5,21.5
Illinois,2010,6,25.7
Illinois,2010,7,43.8
Illinois,2010,8,58.7
Illinois,2010,9,64.3
Illinois,2010,10,74.9
Illinois,2010,11,77.6
Illinois,2010,12,76.8
Illinois,2010,1,67.2
Illinois,2010,2,56.5
Illinois,2010,3,43.7
Illinois,2010,4,24
Illinois,2011,5,22.7
Illinois,2011,6,30.2
Illinois,2011,7,41.6
Illinois,2011,8,53.1
