state,year,month,tmin
Alabama,1969,4,51.1
Alabama,1969,5,57.6
Alabama,1969,6,65
Alabama,1969,7,69.9
Alabama,1969,8,65.5
Alabama,1969,9,60.5
Alabama,1969,10,52.7
Alabama,1969,11,35.9
Alabama,1969,12,31.9
Alabama,1970,1,27.6
Alabama,1970,2,30.7
Alabama,1970,3,41.2
Alabama,1970,4,53.3
Alabama,1970,5,57.2
Alabama,1970,6,64.3
Alabama,1970,7,67
Alabama,1970,8,69.1
Alabama,1970,9,65.6
Alabama,1970,10,53
Alabama,1970,11,36.5
Alabama,1970,12,37.4
Alabama,1971,1,34.1
Alabama,1971,2,33.2
Alabama,1971,3,37.4
Alabama,1971,4,46.1
Alabama,1971,5,53.6
Alabama,1971,6,65.7
Alabama,1971,7,67.9
Alabama,1971,8,67.4
Alabama,1971,9,65.1
Alabama,1971,10,55.9
Alabama,1971,11,39.1
Alabama,1971,12,45.5
Alabama,1972,1,37.7
Alabama,1972,2,36
Alabama,1972,3,42.1
Alabama,1972,4,50.1
Alabama,1972,5,56.9
Alabama,1972,6,62.6
Alabama,1972,7,66.1
Alabama,1972,8,67.3
Alabama,1972,9,64.9
Alabama,1972,10,51.2
Alabama,1972,11,41
Alabama,1972,12,39
Alabama,1973,1,32.8
Alabama,1973,2,32.4
Alabama,1973,3,49.3
Alabama,1973,4,49
Alabama,1973,5,55.1
Alabama,1973,6,65.9
Alabama,1973,7,69.4
Alabama,1973,8,66.4
Alabama,1973,9,65.8
Alabama,1973,10,53.7
Alabama,1973,11,45.2
Alabama,1973,12,34
Alabama,1974,1,45.9
Alabama,1974,2,35
Alabama,1974,3,47.4
Alabama,1974,4,48.4
Alabama,1974,5,60.3
Alabama,1974,6,61.8
Alabama,1974,7,67.3
Alabama,1974,8,67.1
Alabama,1974,9,61
Alabama,1974,10,45.2
Alabama,1974,11,39.3
Alabama,1974,12,36
Alabama,1975,1,37.9
Alabama,1975,2,39.5
Alabama,1975,3,41.4
Alabama,1975,4,48.2
Alabama,1975,5,61.3
Alabama,1975,6,64.9
Alabama,1975,7,68
Alabama,1975,8,68.5
Alabama,1975,9,60.1
Alabama,1975,10,52.8
Alabama,1975,11,42.3
Alabama,1975,12,33.9
Alabama,1976,1,28.3
Alabama,1976,2,38.8
Alabama,1976,3,46.6
Alabama,1976,4,48
Alabama,1976,5,54.1
Alabama,1976,6,63.2
Alabama,1976,7,67.1
Alabama,1976,8,65.2
Alabama,1976,9,61
Alabama,1976,10,45.3
Alabama,1976,11,33.4
Alabama,1976,12,29.9
Alabama,1977,1,23
Alabama,1977,2,31.2
Alabama,1977,3,45.7
Alabama,1977,4,51.3
Alabama,1977,5,58.7
Alabama,1977,6,65.7
Alabama,1977,7,69.7
Alabama,1977,8,68.8
Alabama,1977,9,65.5
Alabama,1977,10,47.6
Alabama,1977,11,45.9
Alabama,1977,12,33.5
Alabama,1978,1,26.8
Alabama,1978,2,27.3
Alabama,1978,3,38.8
Alabama,1978,4,49.7
Alabama,1978,5,58.4
Alabama,1978,6,66.6
Alabama,1978,7,69.4
Alabama,1978,8,68.4
Alabama,1978,9,65.2
Alabama,1978,10,46.8
Alabama,1978,11,46.1
Alabama,1978,12,34
Alabama,1979,1,27.8
Alabama,1979,2,33.8
Alabama,1979,3,42.6
Alabama,1979,4,52.2
Alabama,1979,5,58.2
Alabama,1979,6,63.6
Alabama,1979,7,69.5
Alabama,1979,8,67.3
Alabama,1979,9,63.3
Alabama,1979,10,48.1
Alabama,1979,11,39.8
Alabama,1979,12,33.7
Alabama,1980,1,37.6
Alabama,1980,2,30.8
Alabama,1980,3,41
Alabama,1980,4,47.5
Alabama,1980,5,59.2
Alabama,1980,6,65.4
Alabama,1980,7,70.5
Alabama,1980,8,69.1
Alabama,1980,9,65.9
Alabama,1980,10,47
Alabama,1980,11,39.9
Alabama,1980,12,32
Alabama,1981,1,26.8
Alabama,1981,2,35
Alabama,1981,3,38.5
Alabama,1981,4,53.7
Alabama,1981,5,54.5
Alabama,1981,6,68.7
Alabama,1981,7,69.8
Alabama,1981,8,67.6
Alabama,1981,9,58
Alabama,1981,10,49.5
Alabama,1981,11,40.7
Alabama,1981,12,32.8
Alabama,1982,1,31.4
Alabama,1982,2,37.2
Alabama,1982,3,47
Alabama,1982,4,49
Alabama,1982,5,58.6
Alabama,1982,6,64.6
Alabama,1982,7,69
Alabama,1982,8,68.4
Alabama,1982,9,60.2
Alabama,1982,10,51.5
Alabama,1982,11,43.4
Alabama,1982,12,42.8
Alabama,1983,1,32.2
Alabama,1983,2,36.8
Alabama,1983,3,40.8
Alabama,1983,4,45.2
Alabama,1983,5,56.7
Alabama,1983,6,64.4
Alabama,1983,7,69.1
Alabama,1983,8,69.2
Alabama,1983,9,60.2
Alabama,1983,10,51.9
Alabama,1983,11,40.4
Alabama,1983,12,31.6
Alabama,1984,1,29
Alabama,1984,2,35.5
Alabama,1984,3,40.7
Alabama,1984,4,49.3
Alabama,1984,5,56.2
Alabama,1984,6,64
Alabama,1984,7,67.5
Alabama,1984,8,67.2
Alabama,1984,9,59.3
Alabama,1984,10,58
Alabama,1984,11,39
Alabama,1984,12,43.5
Alabama,1985,1,25.9
Alabama,1985,2,34.8
Alabama,1985,3,46.4
Alabama,1985,4,50.6
Alabama,1985,5,58.9
Alabama,1985,6,66
Alabama,1985,7,68.2
Alabama,1985,8,68.1
Alabama,1985,9,61
Alabama,1985,10,57.8
Alabama,1985,11,51.4
Alabama,1985,12,29.1
Alabama,1986,1,30
Alabama,1986,2,39.6
Alabama,1986,3,41.3
Alabama,1986,4,47
Alabama,1986,5,59.5
Alabama,1986,6,67.8
Alabama,1986,7,70.3
Alabama,1986,8,67
Alabama,1986,9,65.8
Alabama,1986,10,53.1
Alabama,1986,11,49.7
Alabama,1986,12,37.3
Alabama,1987,1,32.5
Alabama,1987,2,38.5
Alabama,1987,3,43.6
Alabama,1987,4,45.9
Alabama,1987,5,62.4
Alabama,1987,6,66
Alabama,1987,7,68.6
Alabama,1987,8,70
Alabama,1987,9,61.3
Alabama,1987,10,41.4
Alabama,1987,11,42.5
Alabama,1987,12,39.3
Alabama,1988,1,30.8
Alabama,1988,2,32.6
Alabama,1988,3,41.2
Alabama,1988,4,49.7
Alabama,1988,5,53.7
Alabama,1988,6,63
Alabama,1988,7,68.8
Alabama,1988,8,69.5
Alabama,1988,9,65.3
Alabama,1988,10,46.8
Alabama,1988,11,44.6
Alabama,1988,12,34.4
Alabama,1989,1,39
Alabama,1989,2,38.1
Alabama,1989,3,46
Alabama,1989,4,47.9
Alabama,1989,5,57.1
Alabama,1989,6,66.5
Alabama,1989,7,69.5
Alabama,1989,8,67.6
Alabama,1989,9,63
Alabama,1989,10,49.2
Alabama,1989,11,41.3
Alabama,1989,12,27.6
Alabama,1990,1,38.6
Alabama,1990,2,43.6
Alabama,1990,3,45.9
Alabama,1990,4,47.8
Alabama,1990,5,57.8
Alabama,1990,6,65.5
Alabama,1990,7,68.4
Alabama,1990,8,67.9
Alabama,1990,9,62.5
Alabama,1990,10,50.3
Alabama,1990,11,41.6
Alabama,1990,12,39.8
Alabama,1991,1,37.6
Alabama,1991,2,39.4
Alabama,1991,3,44.6
Alabama,1991,4,55.2
Alabama,1991,5,64.3
Alabama,1991,6,66.8
Alabama,1991,7,70.3
Alabama,1991,8,68.4
Alabama,1991,9,62.5
Alabama,1991,10,51.1
Alabama,1991,11,37.7
Alabama,1991,12,38.8
Alabama,1992,1,33.9
Alabama,1992,2,39.3
Alabama,1992,3,42
Alabama,1992,4,48.5
Alabama,1992,5,55
Alabama,1992,6,64.3
Alabama,1992,7,69.8
Alabama,1992,8,66
Alabama,1992,9,63.8
Alabama,1992,10,49.4
Alabama,1992,11,41.6
Alabama,1992,12,38.3
Alabama,1993,1,39.6
Alabama,1993,2,34.7
Alabama,1993,3,40.4
Alabama,1993,4,45.9
Alabama,1993,5,57.3
Alabama,1993,6,66.1
Alabama,1993,7,70.5
Alabama,1993,8,69.3
Alabama,1993,9,62.2
Alabama,1993,10,50.8
Alabama,1993,11,39.2
Alabama,1993,12,34.9
Alabama,1994,1,30.8
Alabama,1994,2,38.3
Alabama,1994,3,42.3
Alabama,1994,4,51.3
Alabama,1994,5,56.2
Alabama,1994,6,68.2
Alabama,1994,7,68.5
Alabama,1994,8,66.8
Alabama,1994,9,61
Alabama,1994,10,54.2
Alabama,1994,11,46.4
Alabama,1994,12,40
Alabama,1995,1,34.9
Alabama,1995,2,36
Alabama,1995,3,46.9
Alabama,1995,4,49.8
Alabama,1995,5,60.5
Alabama,1995,6,63.7
Alabama,1995,7,69.5
Alabama,1995,8,71.6
Alabama,1995,9,62
Alabama,1995,10,51.4
Alabama,1995,11,37.5
Alabama,1995,12,34.1
Alabama,1996,1,31.7
Alabama,1996,2,35.5
Alabama,1996,3,39
Alabama,1996,4,46.3
Alabama,1996,5,60.5
Alabama,1996,6,66
Alabama,1996,7,69
Alabama,1996,8,67.7
Alabama,1996,9,61.3
Alabama,1996,10,50.9
Alabama,1996,11,41.5
Alabama,1996,12,37.7
Alabama,1997,1,35.8
Alabama,1997,2,40.8
Alabama,1997,3,48.4
Alabama,1997,4,46.1
Alabama,1997,5,55.1
Alabama,1997,6,65
Alabama,1997,7,70
Alabama,1997,8,67
Alabama,1997,9,62.4
Alabama,1997,10,50.5
Alabama,1997,11,39.2
Alabama,1997,12,34.7
Alabama,1998,1,37.8
Alabama,1998,2,38.7
Alabama,1998,3,42.2
Alabama,1998,4,49.7
Alabama,1998,5,60.8
Alabama,1998,6,69
Alabama,1998,7,71.7
Alabama,1998,8,68.7
Alabama,1998,9,66.5
Alabama,1998,10,53.6
Alabama,1998,11,46.2
Alabama,1998,12,42
Alabama,1999,1,37.4
Alabama,1999,2,39.9
Alabama,1999,3,39.5
Alabama,1999,4,54.9
Alabama,1999,5,56.6
Alabama,1999,6,67.1
Alabama,1999,7,70.5
Alabama,1999,8,69.5
Alabama,1999,9,59.8
Alabama,1999,10,50.5
Alabama,1999,11,42.2
Alabama,1999,12,34.6
Alabama,2000,1,35.9
Alabama,2000,2,38.4
Alabama,2000,3,45.6
Alabama,2000,4,46.8
Alabama,2000,5,61.6
Alabama,2000,6,65.7
Alabama,2000,7,68.9
Alabama,2000,8,68.2
Alabama,2000,9,62.6
Alabama,2000,10,49.6
Alabama,2000,11,42
Alabama,2000,12,28.6
Alabama,2001,1,29.9
Alabama,2001,2,41
Alabama,2001,3,41.1
Alabama,2001,4,52.4
Alabama,2001,5,57.8
Alabama,2001,6,65.6
Alabama,2001,7,69.4
Alabama,2001,8,68.8
Alabama,2001,9,61.2
Alabama,2001,10,46.8
Alabama,2001,11,44.1
Alabama,2001,12,39.1
Alabama,2002,1,35.3
Alabama,2002,2,33.3
Alabama,2002,3,41.6
Alabama,2002,4,54.8
Alabama,2002,5,58.2
Alabama,2002,6,65.9
Alabama,2002,7,69.8
Alabama,2002,8,68.6
Alabama,2002,9,67.7
Alabama,2002,10,59.7
Alabama,2002,11,39.9
Alabama,2002,12,34.1
Alabama,2003,1,28.4
